System_Time,Uptime(ms),Temp,Humidity,PM2.5,PM10
25-10-2025 21:42,1879.92,30.4,54,171,191
25-10-2025 21:42,1895.0,30.9,54,175,196
25-10-2025 21:42,1910.07,30.8,54,172,194
25-10-2025 21:42,1925.15,30.0,54,176,198
25-10-2025 21:43,1940.22,30.8,54,171,193
25-10-2025 21:43,1955.3,30.4,54,171,192
25-10-2025 21:43,1970.38,30.9,54,170,190
25-10-2025 21:43,1985.45,30.9,54,171,190
25-10-2025 21:44,2000.53,30.1,54,170,191
25-10-2025 21:44,2015.61,30.1,54,168,191
25-10-2025 21:44,2030.68,30.4,54,173,195
25-10-2025 21:44,2045.76,30.2,54,170,189
25-10-2025 21:45,2060.84,30.1,54,171,189
25-10-2025 21:45,2075.91,30.9,54,170,187
25-10-2025 21:45,2090.99,30.4,54,169,193
25-10-2025 21:45,2106.07,30.5,54,168,192
25-10-2025 21:46,2121.14,30.9,55,169,191
25-10-2025 21:46,2136.22,30.3,54,169,190
25-10-2025 21:46,2151.3,30.7,54,172,195
25-10-2025 21:46,2166.37,30.3,55,171,192
25-10-2025 21:47,2181.45,30.5,55,175,194
25-10-2025 21:47,2196.53,30.0,55,175,197
25-10-2025 21:47,2211.6,30.2,55,173,193
25-10-2025 21:47,2226.68,30.2,55,172,192
25-10-2025 21:48,2241.76,30.0,55,175,195
25-10-2025 21:48,2256.83,30.2,55,174,193
25-10-2025 21:48,2271.91,30.5,55,169,189
25-10-2025 21:48,2286.99,30.2,55,169,188
25-10-2025 21:49,2302.06,30.4,55,174,193
25-10-2025 21:49,2317.14,30.7,55,172,198
25-10-2025 21:49,2332.21,30.8,55,168,195
25-10-2025 21:49,47.29,30.5,55,169,196
25-10-2025 21:50,2362.37,30.8,55,170,195
25-10-2025 21:50,2377.44,30.7,55,169,193
25-10-2025 21:50,2392.52,30.8,55,172,193
25-10-2025 21:50,2407.59,30.3,55,174,196
25-10-2025 21:51,2422.67,30.8,55,176,199
25-10-2025 21:51,2437.75,30.7,55,170,194
25-10-2025 21:51,2452.82,30.6,55,170,195
25-10-2025 21:51,2467.9,30.7,55,171,192
25-10-2025 21:52,2482.98,30.0,55,173,195
25-10-2025 21:52,2498.05,30.0,55,174,197
25-10-2025 21:52,2513.13,30.0,55,170,194
25-10-2025 21:52,2528.21,30.6,55,168,192
25-10-2025 21:53,2543.28,30.7,55,166,191
25-10-2025 21:53,2558.36,30.3,55,167,192
25-10-2025 21:53,2573.44,30.8,55,166,189
25-10-2025 21:53,2588.51,30.8,55,166,187
25-10-2025 21:54,2603.59,30.2,55,168,190
25-10-2025 21:54,2618.67,30.9,55,169,193
25-10-2025 21:54,2633.74,30.3,55,168,192
25-10-2025 21:54,2648.82,30.9,55,167,191
25-10-2025 21:55,2663.9,30.5,55,167,192
25-10-2025 21:55,2678.97,30.7,55,169,190
25-10-2025 21:55,2694.05,30.8,55,167,190
25-10-2025 21:55,2709.13,30.8,55,171,194
25-10-2025 21:56,2724.21,30.0,55,169,192
25-10-2025 21:56,2739.28,30.1,55,170,191
25-10-2025 21:56,2754.36,30.5,55,172,193
25-10-2025 21:56,2769.43,30.5,55,169,189
25-10-2025 21:57,2784.51,30.7,55,166,187
25-10-2025 21:57,2799.59,30.7,55,172,196
25-10-2025 21:57,2814.67,30.6,55,168,194
25-10-2025 21:57,2829.74,30.7,55,170,194
25-10-2025 21:58,2844.82,30.0,55,171,192
25-10-2025 21:58,2859.9,30.8,55,169,189
25-10-2025 21:58,2874.97,30.2,55,170,190
25-10-2025 21:58,2890.05,30.4,55,171,194
25-10-2025 21:59,2905.12,30.4,55,169,192
25-10-2025 21:59,2920.2,30.2,55,173,195
25-10-2025 21:59,2935.28,30.6,55,170,191
25-10-2025 21:59,2950.35,30.8,55,167,187
25-10-2025 22:00,2965.43,30.2,55,170,190
25-10-2025 22:00,2980.51,30.7,55,170,193
25-10-2025 22:00,2995.58,30.5,55,170,189
25-10-2025 22:00,3010.66,30.8,56,173,191
25-10-2025 22:01,3025.73,30.7,55,175,194
25-10-2025 22:01,3040.81,30.7,55,173,194
25-10-2025 22:01,3055.89,30.6,56,169,188
25-10-2025 22:01,3070.96,30.0,56,168,186
25-10-2025 22:02,3086.04,30.0,56,168,190
25-10-2025 22:02,3101.12,30.4,56,171,195
25-10-2025 22:02,3116.19,30.4,56,173,198
25-10-2025 22:02,3131.27,30.4,56,173,199
25-10-2025 22:03,3146.35,30.0,56,169,192
25-10-2025 22:03,3161.42,30.1,56,166,188
25-10-2025 22:03,3176.5,30.0,56,166,188
25-10-2025 22:03,3191.58,30.1,55,168,191
25-10-2025 22:04,3206.65,30.2,56,170,192
25-10-2025 22:04,3221.73,30.2,56,168,192
25-10-2025 22:04,3236.8,30.5,56,168,194
25-10-2025 22:04,3251.88,30.9,55,167,189
25-10-2025 22:05,3266.96,30.4,56,171,195
25-10-2025 22:05,3282.04,30.0,56,167,192
25-10-2025 22:05,3297.11,30.3,56,162,185
25-10-2025 22:05,3312.19,30.0,56,160,184
25-10-2025 22:06,3327.26,30.8,56,167,191
25-10-2025 22:06,3342.34,30.6,56,166,191
25-10-2025 22:06,3357.42,30.4,56,167,191
25-10-2025 22:06,72.5,30.0,56,166,185
25-10-2025 22:07,3387.57,30.7,56,168,188
25-10-2025 22:07,3402.65,30.6,56,169,187
25-10-2025 22:07,3417.72,30.3,56,170,188
25-10-2025 22:07,3432.8,30.6,56,166,184
25-10-2025 22:08,3447.88,30.7,56,167,191
25-10-2025 22:08,3462.95,30.4,56,168,191
25-10-2025 22:08,3478.03,30.4,56,172,194
25-10-2025 22:08,3493.11,30.0,56,170,190
25-10-2025 22:09,3508.18,30.1,56,166,186
25-10-2025 22:09,3523.26,30.0,56,163,182
25-10-2025 22:09,3538.34,30.0,56,162,184
25-10-2025 22:09,3553.41,30.4,56,165,189
25-10-2025 22:10,3568.49,30.0,56,168,193
25-10-2025 22:10,3583.56,30.6,56,166,192
25-10-2025 22:10,3598.64,30.6,56,169,188
25-10-2025 22:10,3613.72,30.3,56,168,190
25-10-2025 22:11,3628.79,30.2,56,168,190
25-10-2025 22:11,3643.87,30.7,56,168,193
25-10-2025 22:11,3658.95,30.6,56,167,191
