System_Time,Uptime(ms),Temp,Humidity,PM2.5,PM10,NO2,CO
2025-11-14 18:06:37,41.31,25.30,45.00,167,195,0.80,1.00
2025-11-14 18:06:52,56.41,25.40,45.00,167,195,0.72,1.19
2025-11-14 18:07:07,71.52,25.50,45.00,167,195,0.66,1.01
2025-11-14 18:07:22,86.63,25.20,45.00,167,195,0.64,0.96
2025-11-14 18:07:37,101.73,25.10,45.00,167,195,0.67,1.12
2025-11-14 18:07:52,116.84,25.50,45.00,167,196,0.65,0.94
2025-11-14 18:08:08,131.95,25.20,45.00,167,197,0.59,1.03
2025-11-14 18:08:23,147.06,25.80,45.00,168,198,0.59,0.86
2025-11-14 18:08:38,162.16,25.00,45.00,173,202,0.58,0.96
2025-11-14 18:08:53,177.27,25.00,45.00,174,202,0.59,1.12
2025-11-14 18:09:08,192.38,25.10,45.00,176,203,0.59,0.90
2025-11-14 18:09:23,207.48,25.70,45.00,175,202,0.53,1.03
2025-11-14 18:09:38,222.59,25.20,45.00,175,197,0.54,0.86
2025-11-14 18:09:53,237.70,25.70,45.00,174,196,0.53,0.98
2025-11-14 18:10:08,252.81,25.00,45.00,177,202,0.50,0.81
2025-11-14 18:10:24,267.91,25.00,45.00,176,199,0.52,1.00
2025-11-14 18:10:39,283.02,25.00,45.00,176,199,0.50,1.04
2025-11-14 18:10:54,298.13,25.60,45.00,176,205,0.48,0.71
2025-11-14 18:11:09,313.23,25.40,45.00,177,205,1.88,1.04
2025-11-14 18:11:24,328.34,25.90,45.00,180,208,0.47,0.93
2025-11-14 18:11:39,343.45,25.30,45.00,177,201,0.46,0.91
2025-11-14 18:11:54,358.55,25.00,45.00,177,200,0.47,0.80
2025-11-14 18:12:09,373.66,25.70,45.00,177,200,0.45,0.98
2025-11-14 18:12:24,388.77,25.70,45.00,178,202,0.45,1.08
2025-11-14 18:12:39,403.88,25.30,45.00,178,202,0.44,0.96
2025-11-14 18:12:55,418.98,25.30,45.00,169,194,0.44,1.05
2025-11-14 18:13:10,434.09,25.90,45.00,174,200,0.44,0.94
2025-11-14 18:13:25,449.20,25.50,45.00,174,200,0.40,0.99
2025-11-14 18:13:40,464.30,25.90,45.00,175,200,0.39,1.03
2025-11-14 18:13:55,479.41,25.70,45.00,173,198,0.40,0.97
2025-11-14 18:14:10,494.52,25.40,45.00,172,199,0.39,0.96
2025-11-14 18:14:25,509.63,25.00,45.00,171,197,0.37,0.81
2025-11-14 18:14:40,524.74,25.00,45.00,172,199,0.37,0.89
2025-11-14 18:14:55,539.84,25.60,45.00,174,201,0.37,0.87
2025-11-14 18:15:11,554.95,25.30,45.00,174,200,0.38,0.88
2025-11-14 18:15:26,570.06,25.90,45.00,171,200,0.39,1.05
2025-11-14 18:15:41,585.16,25.30,45.00,171,200,0.36,0.86
2025-11-14 18:15:56,600.27,25.00,45.00,168,196,0.36,0.94
2025-11-14 18:16:11,615.38,25.10,45.00,169,197,0.35,1.09
2025-11-14 18:16:26,630.49,25.90,45.00,173,202,0.35,1.00
2025-11-14 18:16:41,645.60,25.60,45.00,173,201,0.33,0.83
2025-11-14 18:16:56,660.70,25.80,45.00,173,201,0.32,0.91
2025-11-14 18:17:11,675.81,25.40,45.00,170,198,0.32,0.98
2025-11-14 18:17:26,690.92,25.00,45.00,170,197,0.32,0.88
2025-11-14 18:17:42,706.03,25.10,45.00,167,193,0.33,0.89
2025-11-14 18:17:57,721.13,25.40,45.00,168,194,0.32,0.88
2025-11-14 18:18:12,736.24,25.90,45.00,173,202,0.30,0.91
2025-11-14 18:18:27,751.35,25.30,45.00,175,204,0.31,0.96
2025-11-14 18:18:42,766.46,25.20,45.00,175,204,0.31,0.91
2025-11-14 18:18:57,781.56,25.20,45.00,175,203,0.30,0.89
2025-11-14 18:19:12,796.67,25.10,45.00,172,200,0.29,0.89
2025-11-14 18:19:27,811.78,25.70,45.00,172,200,0.30,0.96
2025-11-14 18:19:42,826.89,25.70,45.00,173,198,0.30,0.77
2025-11-14 18:19:58,841.99,25.90,45.00,173,198,0.29,0.85
2025-11-14 18:20:13,857.10,25.00,45.00,169,197,0.30,0.99
2025-11-14 18:20:28,872.21,25.00,45.00,168,194,0.29,0.72
2025-11-14 18:20:43,887.32,25.00,45.00,168,195,0.28,0.87
2025-11-14 18:20:58,902.42,25.00,45.00,169,191,0.28,0.84
2025-11-14 18:21:13,917.53,25.00,45.00,172,194,0.28,0.97
2025-11-14 18:21:28,932.64,25.00,45.00,171,195,0.28,0.71
2025-11-14 18:21:43,947.75,25.00,45.00,171,195,0.27,0.86
2025-11-14 18:21:58,962.86,25.00,45.00,173,197,0.28,1.00
2025-11-14 18:22:14,977.97,25.00,45.00,172,198,0.27,0.79
2025-11-14 18:22:29,993.07,25.10,45.00,172,198,0.27,0.90
2025-11-14 18:22:44,1008.18,25.70,45.00,170,199,0.27,0.74
2025-11-14 18:22:59,1023.29,25.20,45.00,173,202,0.27,0.94
2025-11-14 18:23:14,1038.39,25.40,45.00,175,203,0.26,0.84
2025-11-14 18:23:29,1053.50,25.90,45.00,174,198,0.26,0.95
2025-11-14 18:23:44,1068.61,25.30,45.00,174,200,0.27,0.81
2025-11-14 18:23:59,1083.71,25.10,45.00,174,200,0.27,0.89
2025-11-14 18:24:14,1098.82,25.30,45.00,176,203,0.26,1.02
2025-11-14 18:24:30,1113.93,25.40,45.00,174,203,0.26,0.86
2025-11-14 18:24:45,1129.04,25.10,45.00,171,199,0.25,0.95
2025-11-14 18:25:00,1144.14,25.60,45.00,168,199,0.26,0.96
2025-11-14 18:25:15,1159.25,25.50,45.00,173,200,0.25,0.76
2025-11-14 18:25:30,1174.36,25.20,46.00,173,200,0.26,0.98
2025-11-14 18:25:45,1189.47,25.80,45.00,173,199,0.26,0.92
2025-11-14 18:26:00,1204.57,25.80,45.00,174,199,0.25,0.93
2025-11-14 18:26:15,1219.68,25.90,45.00,173,199,0.25,0.91
2025-11-14 18:26:30,1234.79,25.60,45.00,174,200,0.25,0.94
2025-11-14 18:26:45,1249.89,25.70,45.00,171,198,0.25,0.89
2025-11-14 18:27:01,1265.00,25.40,45.00,171,198,0.25,0.80
2025-11-14 18:27:16,1280.11,25.20,45.00,171,199,0.25,1.05
2025-11-14 18:27:31,1295.21,25.10,45.00,171,201,0.25,0.86
2025-11-14 18:27:46,1310.32,25.30,45.00,171,201,0.25,1.02
2025-11-14 18:28:01,1325.43,25.30,45.00,170,196,0.25,0.82
2025-11-14 18:28:16,1340.54,25.40,45.00,170,195,0.25,0.97
2025-11-14 18:28:31,1355.64,25.40,45.00,170,195,0.25,1.02
2025-11-14 18:28:46,1370.75,25.20,45.00,172,197,0.25,0.80
2025-11-14 18:29:01,1385.86,25.20,45.00,172,197,0.24,1.03
2025-11-14 18:29:17,1400.96,25.10,45.00,173,197,0.24,0.84
2025-11-14 18:29:32,1416.07,25.30,45.00,175,207,0.24,0.93
2025-11-14 18:29:47,1431.18,25.60,45.00,175,206,0.24,0.75
2025-11-14 18:30:02,1446.29,25.60,45.00,173,205,0.23,0.75
2025-11-14 18:30:17,1461.39,25.50,45.00,173,199,0.23,0.95
