System_Time,Uptime(ms),Temp,Humidity,PM2.5,PM10
2025-10-25 21:19:53,548.16,30.00,54.00,161,183
2025-10-25 21:19:58,553.18,30.20,54.00,160,182
2025-10-25 21:20:03,558.21,30.00,54.00,167,189
2025-10-25 21:20:08,563.23,30.10,54.00,167,189
2025-10-25 21:20:13,568.26,30.20,54.00,166,189
2025-10-25 21:20:18,573.28,30.80,54.00,167,190
2025-10-25 21:20:23,578.31,30.00,54.00,170,190
2025-10-25 21:20:28,583.34,30.70,54.00,170,190
2025-10-25 21:20:33,588.36,30.70,54.00,168,186
2025-10-25 21:20:38,593.39,30.10,54.00,169,188
2025-10-25 21:20:43,598.41,30.60,54.00,169,189
2025-10-25 21:20:48,603.44,30.10,54.00,169,189
2025-10-25 21:20:53,608.46,30.60,54.00,164,186
2025-10-25 21:20:58,613.49,30.50,54.00,166,190
2025-10-25 21:21:03,618.51,30.90,54.00,166,190
2025-10-25 21:21:08,623.54,30.90,54.00,167,190
2025-10-25 21:21:13,628.56,30.80,54.00,166,189
2025-10-25 21:21:18,633.59,30.30,54.00,169,188
2025-10-25 21:21:23,638.62,30.30,54.00,169,188
2025-10-25 21:21:28,643.64,30.70,54.00,167,190
2025-10-25 21:21:33,648.67,30.90,54.00,168,191
2025-10-25 21:21:38,653.69,30.90,54.00,168,192
2025-10-25 21:21:44,658.72,30.80,54.00,168,192
2025-10-25 21:21:49,663.74,30.40,54.00,168,192
2025-10-25 21:21:54,668.77,30.70,54.00,165,185
2025-10-25 21:21:59,673.79,30.60,54.00,165,185
2025-10-25 21:22:04,678.82,30.30,54.00,170,188
2025-10-25 21:22:09,83.85,30.20,54.00,168,186
2025-10-25 21:22:14,688.87,30.40,54.00,167,185
2025-10-25 21:22:19,693.90,30.60,54.00,167,188
2025-10-25 21:22:24,698.92,30.30,54.00,165,189
2025-10-25 21:22:29,703.95,30.30,54.00,165,189
2025-10-25 21:22:34,708.97,30.40,54.00,165,189
2025-10-25 21:22:39,714.00,30.20,54.00,163,187
2025-10-25 21:22:44,719.02,30.30,54.00,163,187
2025-10-25 21:22:49,724.05,30.00,54.00,163,185
2025-10-25 21:22:54,729.07,30.00,54.00,164,185
2025-10-25 21:22:59,734.10,30.20,54.00,165,185
2025-10-25 21:23:04,739.12,30.30,54.00,165,185
2025-10-25 21:23:09,744.15,30.40,54.00,165,186
2025-10-25 21:23:14,749.17,30.90,54.00,167,190
2025-10-25 21:23:19,754.21,30.00,54.00,167,187
2025-10-25 21:23:24,759.23,30.10,54.00,166,185
2025-10-25 21:23:29,764.25,30.90,54.00,166,185
2025-10-25 21:23:34,769.28,30.60,54.00,167,190
2025-10-25 21:23:39,774.31,30.10,54.00,168,191
2025-10-25 21:23:44,779.33,30.70,54.00,168,191
2025-10-25 21:23:49,784.36,30.50,54.00,168,191
2025-10-25 21:23:54,789.38,30.30,54.00,168,191
