System_Time,Uptime(ms),Temp,Humidity,PM2.5,PM10,NO2,CO
2025-11-12 20:15:44,86.63,26.00,45.00,181,218,0.54,0.14
2025-11-12 20:15:59,101.74,26.20,45.00,183,219,0.32,0.19
2025-11-12 20:16:15,116.84,26.50,45.00,183,219,0.38,0.19
2025-11-12 20:16:30,131.95,26.80,45.00,181,217,0.36,0.22
2025-11-12 20:16:45,147.06,26.30,45.00,181,216,0.39,0.21
2025-11-12 20:17:00,162.16,26.90,45.00,181,216,0.38,0.22
2025-11-12 20:17:15,177.27,26.20,45.00,178,206,0.40,0.24
2025-11-12 20:17:30,192.38,26.40,44.00,180,210,0.40,0.18
2025-11-12 20:17:45,207.49,26.80,44.00,183,218,0.38,0.23
2025-11-12 20:18:00,222.59,26.80,45.00,185,218,0.43,0.19
2025-11-12 20:18:15,237.70,26.40,45.00,178,209,0.39,0.20
2025-11-12 20:18:31,252.81,26.00,44.00,177,209,0.42,0.18
2025-11-12 20:18:46,267.91,26.80,44.00,177,211,0.38,0.16
2025-11-12 20:19:01,283.02,26.90,44.00,178,212,0.38,0.16
2025-11-12 20:19:16,298.13,26.90,44.00,181,210,0.44,0.16
2025-11-12 20:19:31,313.24,26.50,44.00,181,211,0.38,0.16
2025-11-12 20:19:46,328.34,26.10,44.00,185,216,0.42,0.13
2025-11-12 20:20:01,343.45,26.40,44.00,185,225,0.39,0.13
2025-11-12 20:20:16,358.56,26.80,44.00,184,225,0.41,0.14
2025-11-12 20:20:31,373.67,26.20,44.00,179,220,0.41,0.14
2025-11-12 20:20:47,388.77,26.00,44.00,184,219,0.39,0.14
2025-11-12 20:21:02,403.88,26.80,44.00,182,218,0.43,0.11
2025-11-12 20:21:17,418.99,26.10,44.00,176,213,0.38,0.12
2025-11-12 20:21:32,434.10,26.30,45.00,179,212,0.41,0.21
2025-11-12 20:21:47,449.20,26.90,45.00,183,217,0.39,0.09
2025-11-12 20:22:02,464.31,26.20,45.00,185,221,0.38,0.12
2025-11-12 20:22:17,479.42,26.50,45.00,185,218,0.41,0.10
2025-11-12 20:22:32,494.52,26.10,44.00,183,218,0.38,0.10
2025-11-12 20:22:47,509.63,26.40,45.00,182,209,0.39,0.08
2025-11-12 20:23:02,524.74,26.40,45.00,181,207,0.37,0.11
2025-11-12 20:23:18,539.85,26.90,44.00,182,213,0.39,0.09
2025-11-12 20:23:33,554.96,26.10,44.00,180,217,0.36,0.08
2025-11-12 20:23:48,570.06,26.60,44.00,182,216,0.36,0.07
2025-11-12 20:24:03,585.17,26.20,44.00,179,213,0.39,0.07
2025-11-12 20:24:18,600.28,26.20,44.00,179,213,0.36,0.08
2025-11-12 20:24:33,615.38,26.10,44.00,180,217,0.39,0.07
2025-11-12 20:24:48,630.50,26.60,44.00,190,221,0.35,0.09
