PM2.5,PM10
2.5281863644299554,2.7074180446731546
2.567460729960491,2.7739280599471905
2.449637633368885,2.424750479758501
2.5281863644299554,2.6076530217621
2.567460729960491,2.6076530217621
2.5085491816646877,2.5743980141250824
2.5085491816646877,2.6242805255806094
2.704921009317364,2.7739280599471905
2.547823547195223,2.5743980141250824
2.6263722782562935,2.6741630370361364
2.4300004506036172,2.6575355332176276
2.7245581920826316,2.7240455484916635
2.803106923143702,2.840438075221227
2.685283826552096,2.6409080293991183
2.6263722782562935,2.840438075221227
2.8816556542047724,3.073223128680353
2.90129283697004,2.940203098132281
2.8227441059089697,2.7905555637657
2.8423812886742374,3.023340617224826
2.9798415680311106,3.0898506324988624
2.920930019735308,3.073223128680353
2.8816556542047724,3.0399681210433354
2.9798415680311106,3.006713113406317
2.90129283697004,3.12310564013588
3.0780274818574487,3.1729881515914076
3.1173018473879837,3.2062431592284253
3.0387531163269133,3.1064781363173712
3.1173018473879837,3.2062431592284253
3.1369390301532514,3.3725181974135157
3.1369390301532514,3.1729881515914076
3.156576212918519,3.1729881515914076
3.1173018473879837,3.1563606477728983
3.2743993095101245,3.2394981668654435
3.215487761214322,3.2893806783209705
3.31367367504066,3.355890693595007
3.0780274818574487,3.12310564013588
3.0780274818574487,3.006713113406317
3.195850578449054,3.1896156554099164
3.1369390301532514,3.2394981668654435
3.3725852233364626,3.3725181974135157
3.215487761214322,3.1896156554099164
3.2743993095101245,3.2727531745024616
3.254762126744857,3.3725181974135157
3.254762126744857,3.405773205050534
3.156576212918519,3.355890693595007
3.215487761214322,3.47228322032457
3.2743993095101245,3.389145701232025
3.1173018473879837,3.1064781363173712
3.3529480405711953,3.455655716506061
3.4314967716322657,3.439028212687552
3.3529480405711953,3.47228322032457
3.4314967716322657,3.5055382279615883
3.510045502693336,3.5055382279615883
3.5296826854586034,3.3725181974135157
3.510045502693336,3.6053032508726424
3.4314967716322657,3.488910724143079
3.2743993095101245,3.2893806783209705
3.3529480405711953,3.522165731780097
3.3725852233364626,3.455655716506061
3.3725852233364626,3.439028212687552
3.3922224061017303,3.5055382279615883
3.4904083199280684,3.522165731780097
3.549319868223871,3.6053032508726424
-2.243649047530074,-2.2143230856055194
-2.263286230295342,-2.2309505894240287
-2.302560595825877,-2.264205597061047
-1.8705425749899895,-1.8485180015983207
-1.8705425749899895,-1.8485180015983207
-2.047277219877398,-2.048048047420429
-2.008002854346863,-2.0147930397834113
-2.008002854346863,-2.0147930397834113
-2.1651003164690037,-2.081303055057447
-2.1258259509384687,-2.048048047420429
-2.145463133703736,-2.048048047420429
-2.1651003164690037,-2.1478130703314835
-2.204374681999539,-2.1976955817870105
-2.1847374992342714,-2.1810680779685017
-2.1847374992342714,-2.1810680779685017
-2.1847374992342714,-2.131185566512974
-2.1847374992342714,-2.0979305588759565
-2.204374681999539,-2.1478130703314835
-2.1258259509384687,-2.1478130703314835
-2.1651003164690037,-2.131185566512974
-2.106188768173201,-2.048048047420429
-2.0276400371121306,-1.998165535964902
-2.0865515854079333,-2.081303055057447
-2.106188768173201,-2.048048047420429
-2.106188768173201,-2.081303055057447
-2.0669144026426656,-2.048048047420429
-2.106188768173201,-2.0646755512389383
-2.008002854346863,-2.048048047420429
-2.047277219877398,-2.03142054360192
-2.008002854346863,-1.9815380321463931
-1.9098169405205248,-1.8485180015983207
-2.008002854346863,-1.964910528327884
-2.008002854346863,-1.964910528327884
-1.9883656715815952,-1.964910528327884
-1.9294541232857925,-1.8485180015983207
-1.850905392224722,-1.7653804825057757
-1.9098169405205248,-1.898400513053848
-1.8901797577552573,-1.898400513053848
-1.8705425749899895,-1.8651455054168298
-1.8705425749899895,-1.7820079863242846
-1.8901797577552573,-1.8651455054168298
-1.438524554154102,-1.499340421409631
-1.143966812675088,-1.1335353374024324
-0.986869350552947,-1.0670253221283963
-0.4566654158907215,-0.5016901922990891
-1.8312682094594543,-1.7820079863242846
-1.7919938439289191,-1.7653804825057757
-1.850905392224722,-1.8817730092353389
-1.8116310266941866,-1.7820079863242846
-1.8705425749899895,-1.8318904977798118
-1.850905392224722,-1.898400513053848
-1.850905392224722,-1.8152629939613028
-1.8116310266941866,-1.7653804825057757
-1.7919938439289191,-1.7986354901427937
-1.7919938439289191,-1.8318904977798118
-1.752719478398384,-1.7820079863242846
-1.850905392224722,-1.8817730092353389
-1.7919938439289191,-1.7487529786872666
-1.7919938439289191,-1.7653804825057757
-1.7330822956331162,-1.7653804825057757
-1.7919938439289191,-1.7986354901427937
-1.7723566611636514,-1.7820079863242846
-1.7330822956331162,-1.7154979710502485
-1.7134451128678487,-1.7487529786872666
-1.752719478398384,-1.7154979710502485
-1.693807930102581,-1.6988704672317394
-1.7919938439289191,-1.7487529786872666
-1.752719478398384,-1.6988704672317394
-1.6741707473373135,-1.6323604519577033
-1.7330822956331162,-1.6822429634132305
-1.7134451128678487,-1.7487529786872666
-1.7134451128678487,-1.7321254748687576
-1.6741707473373135,-1.6822429634132305
-1.6348963818067783,-1.6157329481391942
-1.5367104679804402,-1.5824779405021763
-1.6348963818067783,-1.499340421409631
-1.595622016276243,-1.5325954290466492
-1.5759848335109754,-1.6157329481391942
-1.6545335645720458,-1.6323604519577033
-1.6348963818067783,-1.6157329481391942
-1.5367104679804402,-1.5824779405021763
-1.595622016276243,-1.5824779405021763
-1.6741707473373135,-1.6323604519577033
-1.5759848335109754,-1.5824779405021763
-1.595622016276243,-1.6157329481391942
-1.5759848335109754,-1.549222932865158
-1.6152591990415106,-1.6157329481391942
-1.438524554154102,-1.416202902317086
-1.4581617369193698,-1.432830406135595
-1.5170732852151725,-1.499340421409631
-1.497436102449905,-1.499340421409631
-1.4581617369193698,-1.466085413772613
-1.5170732852151725,-1.5824779405021763
